ID,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I1,Acorns 1,Object,Pixabay,4.68627450980392,0.954202711685196,102,2.34653465346535,1.60272045949602,101
I10,Alcohol 7,Object,Pixabay,4.47524752475248,1.15407156975588,101,3.12621359223301,1.65493683103477,103
I12,Ambulance 1,Object,Pixabay,2.33333333333333,1.06779535299975,108,4.16346153846154,1.80673269939137,104
I19,Angry face 5,Person,Flickr/Bart,2.85294117647059,1.02828376504544,102,3.55445544554455,1.75769876557249,101
I28,Archery 1,Person,Pixabay,4.29411764705882,1.27883173243532,102,3.75247524752475,1.54535394388509,101
I30,Astronaut 1,Person,Pixabay,5.71296296296296,1.08559752206969,108,4.56730769230769,1.77230267132203,104
I33,Baby 2,Person,Pixabay,6.02777777777778,1.05421568785088,108,3.66346153846154,1.83604988046482,104
I37,Baby 6,Person,Pixabay,6.0462962962963,0.989517575833472,108,3.65384615384615,1.76684256126451,104
I46,Bar 3,Scene,Pixabay,4.49019607843137,1.30304364218925,102,3.25742574257426,1.61030099886037,101
I55,Barrels 1,Object,Pixabay,4.20792079207921,0.571258814954628,101,2.46601941747573,1.49387989372445,103
I59,Beach 1,Scene,Pixabay,6.36633663366337,0.845254663130914,101,4.7378640776699,1.69173982290505,103
I60,Beach 2,Scene,Pixabay,6.32352941176471,0.935141909132241,102,4.13861386138614,1.86563502845705,101
I66,Beach 8,Scene,Pixabay,5.85294117647059,1.00884267408749,102,3.89108910891089,1.88627140199394,101
I75,Bird 2,Animal,Pixabay,5.47524752475248,1.1008547534161,101,3.69902912621359,1.54561334647136,103
I87,Bored pose 2,Person,Pixabay,3.18627450980392,0.972191483368331,102,2.74257425742574,1.54047697383982,101
I92,Bottle 1,Object,Pixabay,4.17647058823529,0.801134896811242,102,2.15841584158416,1.34709074131869,101
I101,Bungee jumping 1,Person,Wikipedia,4.2037037037037,1.3586638520215,108,4.55769230769231,1.97472831154219,104
I110,Camping 8,Person,Pixabay,3.55882352941176,1.34660210013001,102,3.73267326732673,1.60555964765505,101
I119,Car accident 4,Object,Pixabay,2.02777777777778,0.941844812636531,108,3.96153846153846,1.81109352217912,104
I128,Cardboard 2,Object,Pixabay,4.00925925925926,0.587969265684951,108,2.06730769230769,1.47644563402501,104
I137,Cat 8,Animal,Flickr/Markus Schoepke,4.76470588235294,1.3800306395525,102,3.63366336633663,1.50812978405194,101
I146,Cemetery 1,Scene,Pixabay,4.1078431372549,1.35637010300971,102,3.48514851485149,1.68293708370895,101
I155,Child labor 3,Person,Pixabay,4.08823529411765,1.17820925688072,102,3.5049504950495,1.58507894047103,101
I164,Cliff diver 2,Person,Wikipedia,5.10891089108911,1.05736455491008,101,4.0873786407767,1.63962451534003,103
I173,Cold 3,Object,Pixabay,4.88235294117647,1.06514646087291,102,2.8019801980198,1.58126406384385,101
I182,Cotton swabs 3,Object,Pixabay,4.12745098039216,0.608057589564304,102,1.81188118811881,1.24669861062832,101
I191,Couple 9,Person,Pixabay,5.81481481481481,1.00603922321994,108,3.44230769230769,1.55686343301732,104
I200,Dancing 2,Person,Pixabay,5.2156862745098,1.10469252010148,102,3.48514851485149,1.57869478612009,101
I218,Dessert 1,Object,Pixabay,5.33333333333333,1.11987740960395,102,3.40594059405941,1.64425191392184,101
